Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
הדלקת נרות,05/01/2024,16:33,05/01/2024,16:33,FALSE,,4,Ashdod
הבדלה,06/01/2024,17:31,06/01/2024,17:31,FALSE,,4,Ashdod
הדלקת נרות,12/01/2024,16:38,12/01/2024,16:38,FALSE,,4,Ashdod
הבדלה,13/01/2024,17:37,13/01/2024,17:37,FALSE,,4,Ashdod
הדלקת נרות,19/01/2024,16:45,19/01/2024,16:45,FALSE,,4,Ashdod
הבדלה,20/01/2024,17:43,20/01/2024,17:43,FALSE,,4,Ashdod
הדלקת נרות,26/01/2024,16:51,26/01/2024,16:51,FALSE,,4,Ashdod
הבדלה,27/01/2024,17:49,27/01/2024,17:49,FALSE,,4,Ashdod
הדלקת נרות,02/02/2024,16:57,02/02/2024,16:57,FALSE,,4,Ashdod
הבדלה,03/02/2024,17:55,03/02/2024,17:55,FALSE,,4,Ashdod
הדלקת נרות,09/02/2024,17:04,09/02/2024,17:04,FALSE,,4,Ashdod
הבדלה,10/02/2024,18:00,10/02/2024,18:00,FALSE,,4,Ashdod
הדלקת נרות,16/02/2024,17:10,16/02/2024,17:10,FALSE,,4,Ashdod
הבדלה,17/02/2024,18:06,17/02/2024,18:06,FALSE,,4,Ashdod
הדלקת נרות,23/02/2024,17:16,23/02/2024,17:16,FALSE,,4,Ashdod
הבדלה,24/02/2024,18:11,24/02/2024,18:11,FALSE,,4,Ashdod
הדלקת נרות,01/03/2024,17:21,01/03/2024,17:21,FALSE,,4,Ashdod
הבדלה,02/03/2024,18:17,02/03/2024,18:17,FALSE,,4,Ashdod
הדלקת נרות,08/03/2024,17:26,08/03/2024,17:26,FALSE,,4,Ashdod
הבדלה,09/03/2024,18:22,09/03/2024,18:22,FALSE,,4,Ashdod
הדלקת נרות,15/03/2024,17:31,15/03/2024,17:31,FALSE,,4,Ashdod
הבדלה,16/03/2024,18:26,16/03/2024,18:26,FALSE,,4,Ashdod
הדלקת נרות,22/03/2024,17:36,22/03/2024,17:36,FALSE,,4,Ashdod
הבדלה,23/03/2024,18:31,23/03/2024,18:31,FALSE,,4,Ashdod
הדלקת נרות,29/03/2024,18:41,29/03/2024,18:41,FALSE,,4,Ashdod
הבדלה,30/03/2024,19:36,30/03/2024,19:36,FALSE,,4,Ashdod
הדלקת נרות,05/04/2024,18:45,05/04/2024,18:45,FALSE,,4,Ashdod
הבדלה,06/04/2024,19:41,06/04/2024,19:41,FALSE,,4,Ashdod
הדלקת נרות,12/04/2024,18:50,12/04/2024,18:50,FALSE,,4,Ashdod
הבדלה,13/04/2024,19:47,13/04/2024,19:47,FALSE,,4,Ashdod
הדלקת נרות,19/04/2024,18:55,19/04/2024,18:55,FALSE,,4,Ashdod
הבדלה,20/04/2024,19:52,20/04/2024,19:52,FALSE,,4,Ashdod
הדלקת נרות,26/04/2024,19:00,26/04/2024,19:00,FALSE,,4,Ashdod
הבדלה,27/04/2024,19:57,27/04/2024,19:57,FALSE,,4,Ashdod
הדלקת נרות,03/05/2024,19:05,03/05/2024,19:05,FALSE,,4,Ashdod
הבדלה,04/05/2024,20:03,04/05/2024,20:03,FALSE,,4,Ashdod
הדלקת נרות,10/05/2024,19:10,10/05/2024,19:10,FALSE,,4,Ashdod
הבדלה,11/05/2024,20:09,11/05/2024,20:09,FALSE,,4,Ashdod
הדלקת נרות,17/05/2024,19:14,17/05/2024,19:14,FALSE,,4,Ashdod
הבדלה,18/05/2024,20:14,18/05/2024,20:14,FALSE,,4,Ashdod
הדלקת נרות,24/05/2024,19:19,24/05/2024,19:19,FALSE,,4,Ashdod
הבדלה,25/05/2024,20:19,25/05/2024,20:19,FALSE,,4,Ashdod
הדלקת נרות,31/05/2024,19:23,31/05/2024,19:23,FALSE,,4,Ashdod
הבדלה,01/06/2024,20:24,01/06/2024,20:24,FALSE,,4,Ashdod
הדלקת נרות,07/06/2024,19:27,07/06/2024,19:27,FALSE,,4,Ashdod
הבדלה,08/06/2024,20:28,08/06/2024,20:28,FALSE,,4,Ashdod
הדלקת נרות,14/06/2024,19:30,14/06/2024,19:30,FALSE,,4,Ashdod
הבדלה,15/06/2024,20:31,15/06/2024,20:31,FALSE,,4,Ashdod
הדלקת נרות,21/06/2024,19:32,21/06/2024,19:32,FALSE,,4,Ashdod
הבדלה,22/06/2024,20:33,22/06/2024,20:33,FALSE,,4,Ashdod
הדלקת נרות,28/06/2024,19:32,28/06/2024,19:32,FALSE,,4,Ashdod
הבדלה,29/06/2024,20:33,29/06/2024,20:33,FALSE,,4,Ashdod
הדלקת נרות,05/07/2024,19:32,05/07/2024,19:32,FALSE,,4,Ashdod
הבדלה,06/07/2024,20:32,06/07/2024,20:32,FALSE,,4,Ashdod
הדלקת נרות,12/07/2024,19:31,12/07/2024,19:31,FALSE,,4,Ashdod
הבדלה,13/07/2024,20:30,13/07/2024,20:30,FALSE,,4,Ashdod
הדלקת נרות,19/07/2024,19:28,19/07/2024,19:28,FALSE,,4,Ashdod
הבדלה,20/07/2024,20:26,20/07/2024,20:26,FALSE,,4,Ashdod
הדלקת נרות,26/07/2024,19:24,26/07/2024,19:24,FALSE,,4,Ashdod
הבדלה,27/07/2024,20:22,27/07/2024,20:22,FALSE,,4,Ashdod
הדלקת נרות,02/08/2024,19:18,02/08/2024,19:18,FALSE,,4,Ashdod
הבדלה,03/08/2024,20:15,03/08/2024,20:15,FALSE,,4,Ashdod
הדלקת נרות,09/08/2024,19:12,09/08/2024,19:12,FALSE,,4,Ashdod
הבדלה,10/08/2024,20:08,10/08/2024,20:08,FALSE,,4,Ashdod
תחילת הַצוֹם,12/08/2024,19:28,12/08/2024,19:28,FALSE,עֶרֶב תִּשְׁעָה בְּאָב,4,Ashdod
סִיּוּם הַצוֹם,13/08/2024,19:58,13/08/2024,19:58,FALSE,תִּשְׁעָה בְּאָב,4,Ashdod
הדלקת נרות,16/08/2024,19:05,16/08/2024,19:05,FALSE,,4,Ashdod
הבדלה,17/08/2024,20:01,17/08/2024,20:01,FALSE,,4,Ashdod
הדלקת נרות,23/08/2024,18:57,23/08/2024,18:57,FALSE,,4,Ashdod
הבדלה,24/08/2024,19:52,24/08/2024,19:52,FALSE,,4,Ashdod
הדלקת נרות,30/08/2024,18:49,30/08/2024,18:49,FALSE,,4,Ashdod
הבדלה,31/08/2024,19:43,31/08/2024,19:43,FALSE,,4,Ashdod
הדלקת נרות,06/09/2024,18:40,06/09/2024,18:40,FALSE,,4,Ashdod
הבדלה,07/09/2024,19:34,07/09/2024,19:34,FALSE,,4,Ashdod
הדלקת נרות,13/09/2024,18:31,13/09/2024,18:31,FALSE,,4,Ashdod
הבדלה,14/09/2024,19:25,14/09/2024,19:25,FALSE,,4,Ashdod
הדלקת נרות,20/09/2024,18:22,20/09/2024,18:22,FALSE,,4,Ashdod
הבדלה,21/09/2024,19:15,21/09/2024,19:15,FALSE,,4,Ashdod
הדלקת נרות,27/09/2024,18:13,27/09/2024,18:13,FALSE,,4,Ashdod
הבדלה,28/09/2024,19:06,28/09/2024,19:06,FALSE,,4,Ashdod
הדלקת נרות,04/10/2024,18:04,04/10/2024,18:04,FALSE,,4,Ashdod
הבדלה,05/10/2024,18:57,05/10/2024,18:57,FALSE,,4,Ashdod
הדלקת נרות,11/10/2024,17:55,11/10/2024,17:55,FALSE,,4,Ashdod
הבדלה,12/10/2024,18:49,12/10/2024,18:49,FALSE,,4,Ashdod
הדלקת נרות,18/10/2024,17:47,18/10/2024,17:47,FALSE,,4,Ashdod
הבדלה,19/10/2024,18:41,19/10/2024,18:41,FALSE,,4,Ashdod
הדלקת נרות,25/10/2024,17:40,25/10/2024,17:40,FALSE,,4,Ashdod
הבדלה,26/10/2024,18:34,26/10/2024,18:34,FALSE,,4,Ashdod
הדלקת נרות,01/11/2024,16:33,01/11/2024,16:33,FALSE,,4,Ashdod
הבדלה,02/11/2024,17:28,02/11/2024,17:28,FALSE,,4,Ashdod
