"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"הַדְלָקַת נֵרוֹת","5/1/2024","16:33","5/1/2024","16:33","false","","4","Ashdod"
"הַבְדָּלָה","6/1/2024","17:31","6/1/2024","17:31","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","12/1/2024","16:38","12/1/2024","16:38","false","","4","Ashdod"
"הַבְדָּלָה","13/1/2024","17:37","13/1/2024","17:37","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","19/1/2024","16:45","19/1/2024","16:45","false","","4","Ashdod"
"הַבְדָּלָה","20/1/2024","17:43","20/1/2024","17:43","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","26/1/2024","16:51","26/1/2024","16:51","false","","4","Ashdod"
"הַבְדָּלָה","27/1/2024","17:49","27/1/2024","17:49","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","2/2/2024","16:57","2/2/2024","16:57","false","","4","Ashdod"
"הַבְדָּלָה","3/2/2024","17:55","3/2/2024","17:55","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","9/2/2024","17:04","9/2/2024","17:04","false","","4","Ashdod"
"הַבְדָּלָה","10/2/2024","18:00","10/2/2024","18:00","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","16/2/2024","17:10","16/2/2024","17:10","false","","4","Ashdod"
"הַבְדָּלָה","17/2/2024","18:06","17/2/2024","18:06","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","23/2/2024","17:16","23/2/2024","17:16","false","","4","Ashdod"
"הַבְדָּלָה","24/2/2024","18:11","24/2/2024","18:11","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","1/3/2024","17:21","1/3/2024","17:21","false","","4","Ashdod"
"הַבְדָּלָה","2/3/2024","18:17","2/3/2024","18:17","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","8/3/2024","17:26","8/3/2024","17:26","false","","4","Ashdod"
"הַבְדָּלָה","9/3/2024","18:22","9/3/2024","18:22","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","15/3/2024","17:31","15/3/2024","17:31","false","","4","Ashdod"
"הַבְדָּלָה","16/3/2024","18:26","16/3/2024","18:26","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","22/3/2024","17:36","22/3/2024","17:36","false","","4","Ashdod"
"הַבְדָּלָה","23/3/2024","18:31","23/3/2024","18:31","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","29/3/2024","18:41","29/3/2024","18:41","false","","4","Ashdod"
"הַבְדָּלָה","30/3/2024","19:36","30/3/2024","19:36","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","5/4/2024","18:45","5/4/2024","18:45","false","","4","Ashdod"
"הַבְדָּלָה","6/4/2024","19:41","6/4/2024","19:41","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","12/4/2024","18:50","12/4/2024","18:50","false","","4","Ashdod"
"הַבְדָּלָה","13/4/2024","19:47","13/4/2024","19:47","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","19/4/2024","18:55","19/4/2024","18:55","false","","4","Ashdod"
"הַבְדָּלָה","20/4/2024","19:52","20/4/2024","19:52","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","26/4/2024","19:00","26/4/2024","19:00","false","","4","Ashdod"
"הַבְדָּלָה","27/4/2024","19:57","27/4/2024","19:57","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","3/5/2024","19:05","3/5/2024","19:05","false","","4","Ashdod"
"הַבְדָּלָה","4/5/2024","20:03","4/5/2024","20:03","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","10/5/2024","19:10","10/5/2024","19:10","false","","4","Ashdod"
"הַבְדָּלָה","11/5/2024","20:09","11/5/2024","20:09","false","","4","Ashdod"
"הַדְלָקַת נֵרוֹת","17/5/2024","19:14","17/5/2024","19:14","false","","4","Ashdod"
"הַבְדָּלָה","18/5/2024","20:14","18/5/2024","20:14","false","","4","Ashdod"
